year,cloudflare,datadog,gcp,github
2015.0,158.89878333333334,78.5,,
2016.0,183.2312333333333,59.0,,
2017.0,240.40235833333332,35.0,,
2018.0,178.31863333333334,43.5,69.4,1440.0
2019.0,137.37289166666665,44.0,95.93333333333334,79.0
2020.0,81.37104166666666,51.5,96.99166666666666,63.0
2021.0,100.67674166666666,49.0,157.0,72.0
2022.0,90.35453333333334,67.0,185.0,87.0
2023.0,84.58888333333334,49.0,169.38333333333333,52.0
2024.0,100.41513333333334,65.0,234.46666666666664,58.5
2025.0,102.51093333333333,79.0,,75.0
