panel,group,year,value
bls_labor_productivity,exposed,2019,100.0
bls_labor_productivity,exposed,2022,103.16
bls_labor_productivity,exposed,2025,129.45
bls_labor_productivity,unexposed,2019,100.0
bls_labor_productivity,unexposed,2022,99.25
bls_labor_productivity,unexposed,2025,98.64
ppi_ratio_exposed_over_unexposed,ratio,2019,99.97
ppi_ratio_exposed_over_unexposed,ratio,2022,97.58
ppi_ratio_exposed_over_unexposed,ratio,2026,96.41
oecd_gdp_per_hour,USA,2019,100.0
oecd_gdp_per_hour,USA,2022,105.91
oecd_gdp_per_hour,USA,2025,111.79
oecd_gdp_per_hour,EA20,2019,100.0
oecd_gdp_per_hour,EA20,2022,102.29
oecd_gdp_per_hour,EA20,2025,101.85
oecd_gdp_per_hour,GBR,2019,100.0
oecd_gdp_per_hour,GBR,2022,102.91
oecd_gdp_per_hour,GBR,2025,101.83
oecd_gdp_per_hour,JPN,2019,100.0
oecd_gdp_per_hour,JPN,2022,102.71
oecd_gdp_per_hour,JPN,2025,103.87
oecd_gdp_per_hour,DEU,2019,100.0
oecd_gdp_per_hour,DEU,2022,102.47
oecd_gdp_per_hour,DEU,2025,101.62
oecd_gdp_per_hour,CAN,2019,100.0
oecd_gdp_per_hour,CAN,2022,103.15
oecd_gdp_per_hour,CAN,2025,102.69
