,equal_weight_index_2019_12=100
2019-03-01,100.0
2019-04-01,100.0
2019-05-01,100.0
2019-06-01,100.0
2019-07-01,100.0
2019-08-01,100.0
2019-09-01,100.0
2019-10-01,100.0
2019-11-01,100.0
2019-12-01,100.0
2020-01-01,100.0
2020-02-01,100.0
2020-03-01,100.0
2020-04-01,100.0
2020-05-01,100.0
2020-06-01,100.0
2020-07-01,100.0
2020-08-01,100.0
2020-09-01,100.0
2020-10-01,100.0
2020-11-01,101.53964588144727
2020-12-01,101.53964588144727
2021-01-01,101.53964588144727
2021-02-01,101.53964588144727
2021-03-01,101.53964588144727
2021-04-01,101.53964588144727
2021-05-01,101.53964588144727
2021-06-01,101.53964588144727
2021-07-01,101.53964588144727
2021-08-01,101.53964588144727
2021-09-01,101.53964588144727
2021-10-01,101.53964588144727
2021-11-01,104.87854404505329
2021-12-01,104.87854404505329
2022-01-01,104.87854404505329
2022-02-01,107.18801286722419
2022-03-01,110.53478706077256
2022-04-01,110.53478706077256
2022-05-01,110.53478706077256
2022-06-01,110.53478706077256
2022-07-01,110.53478706077256
2022-08-01,110.53478706077256
2022-09-01,110.53478706077256
2022-10-01,110.53478706077256
2022-11-01,113.87368522437858
2022-12-01,113.87368522437858
2023-01-01,113.87368522437858
2023-02-01,113.87368522437858
2023-03-01,113.87368522437858
2023-04-01,113.87368522437858
2023-05-01,113.87368522437858
2023-06-01,113.87368522437858
2023-07-01,113.87368522437858
2023-08-01,119.21180065423712
2023-09-01,119.21180065423712
2023-10-01,119.21180065423712
2023-11-01,119.21180065423712
2023-12-01,119.21180065423712
2024-01-01,119.21180065423712
2024-02-01,119.21180065423712
2024-03-01,119.21180065423712
2024-04-01,119.21180065423712
2024-05-01,119.21180065423712
2024-06-01,119.21180065423712
2024-07-01,121.21380265623914
2024-08-01,121.21380265623914
2024-09-01,121.21380265623914
2024-10-01,121.21380265623914
2024-11-01,127.89159898345115
2024-12-01,127.89159898345115
2025-01-01,127.89159898345115
2025-02-01,131.74071368706933
2025-03-01,131.74071368706933
2025-04-01,131.74071368706933
2025-05-01,131.74071368706933
2025-06-01,131.74071368706933
2025-07-01,131.74071368706933
2025-08-01,131.74071368706933
2025-09-01,131.74071368706933
2025-10-01,131.74071368706933
2025-11-01,131.74071368706933
2025-12-01,131.74071368706933
2026-01-01,131.74071368706933
2026-02-01,131.74071368706933
2026-03-01,131.74071368706933
2026-04-01,131.74071368706933
2026-05-01,131.74071368706933
2026-06-01,131.74071368706933
2026-07-01,131.74071368706933
2026-08-01,131.74071368706933
2026-09-01,131.74071368706933
